3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
3.2  Gültige Zweitstimmen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Partei;Insgesamt;;Davon Wähler im Alter von ... bis unter ... Jahren;;;;;;;;;;;
;;;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 70;;70 und mehr;
;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%
;;;;;;;;;;;;;;
;Schleswig-Holstein;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;638,756;39,22863863;32,64202905;28,67121534;61,10840255;35,43631032;86,6970216;39,07164945;166,4226037;34,63293581;104,8808011;39,33290921;187,005142;50,14609463
SPD;513,725;31,5499696;33,34132988;29,28544813;44,83664141;26,00043647;60,17058173;27,11700856;157,6565508;32,80869955;94,92998019;35,60110386;122,789916;32,92655315
FDP;91,714;5,632534745;6,09784669;5,356060289;8,359502379;4,847613553;10,87382956;4,90049657;22,74762326;4,733833978;17,54177469;6,578601842;26,09342342;6,997044392
DIE LINKE;84,177;5,169656511;7,540300465;6,6230435;11,87286414;6,884986032;11,79113618;5,313898112;30,70505421;6,3897941;13,78576786;5,170005853;8,481877155;2,274445558
GRÜNE;153,137;9,404774334;16,69331174;14,66261594;19,16507425;11,1136847;25,88321489;11,66475941;59,90162401;12,46566904;18,80554352;7,052546587;12,6882316;3,402394478
Sonstige;146,781;9,014426177;17,53466035;15,4016168;27,10324114;15,71696892;26,47661837;11,93218789;43,09930808;8,969067522;16,70511233;6,264832646;15,86205973;4,253467792
dar. PIRATEN;32,217;1,978578754;8,0958876;7,111044978;9,550385764;5,538198013;6,147740286;2,770595217;6,900172266;1,4359421;1,072738068;0,402303459;0,450076017;0,120689486
dar. NPD;11,229;0,689619171;1,644316637;1,444290008;2,856252348;1,656319595;2,948899197;1,328977092;2,554935644;0,531688125;0,609301124;0,228503077;0,61529505;0,164993558
