1.7  Wahlbeteiligung in den Ländern nach Geschlecht und Altersgruppen 2013 in Prozent;;;;;;;;;;;
;;;;;;;;;;;
Land;Wahlbeteiligung1;;;;;;;;;;
;insgesamt;im Alter von ... bis unter ... Jahren;;;;;;;;;
;;18 - 21;21 - 25;25 - 30;30 - 35;35 - 40;40 - 45;45 - 50;50 - 60;60 - 70;70 und mehr
;Insgesamt;;;;;;;;;;
Schleswig-Holstein;73,75184075;62,37053431;57,62804113;60,0700458;65,57948767;67,84752019;72,53483043;75,41118113;76,93585732;82,32749091;79,02563128
Mecklenburg-Vorpommern;65,66763283;50,4748505;45,59928888;51,52609768;56,66633169;60,52290769;67,08211534;67,32852343;69,00309097;74,64478166;69,60946931
Hamburg;72,1056261;57,75046673;63,34238865;66,26526176;68,39731116;71,25174254;74,5241932;74,90103992;75,01325102;78,49953012;73,46420481
Niedersachsen;74,029113;63,17547729;59,25343146;61,30738152;65,20756319;69,25530258;73,66265253;76,66718861;77,00105233;82,75278726;78,33287004
Bremen;69,5047569;59,106213;55,26532952;60,75405127;63,00499952;65,23720042;68,36244784;70,12681096;70,43493646;78,1706037;74,92316624
Brandenburg;68,90830536;61,29160536;55,24827087;55,79575885;60,56270677;66,21955146;70,22950791;72,38737792;72,20409968;77,16113135;68,90803267
Sachsen-Anhalt;62,50693984;49,66197587;46,75603775;47,81442774;51,98406173;57,08849436;62,05074415;63,32943981;65,94326494;71,31098707;65,13314728
Berlin;73,57164693;60,36111327;60,87645098;68,08695909;71,29502408;73,04129047;74,82527053;76,11561548;74,76425329;79,3279557;75,89144822
Nordrhein-Westfalen;73,33753648;65,27855214;61,5432312;63,41822138;66,32794438;69,39348698;73,11593419;75,5899669;76,4292071;80,45369404;76,56373517
Sachsen;69,99042986;63,52309268;60,31195494;62,53717657;65,46370034;69,04888313;71,24209959;71,8596008;72,42064646;76,16996865;69,33274474
Hessen;73,9238311;67,40318705;61,9651698;62,65143393;66,07525182;69,7301024;73,58325943;76,55844431;77,63195738;81,47726497;76,8751125
Thüringen;68,66522121;60,06306598;56,05734565;59,50340052;60,65725267;64,38610625;70,22074992;70,03166296;71,8907561;75,96541509;69,52558307
Rheinland-Pfalz;73,58033698;66,16743855;60,20640609;61,95015512;64,93653874;68,65035651;72,61634358;75,18384621;76,83918161;81,30671177;77,38834324
Bayern;71,41096904;63,30983801;60,25122815;61,81070932;64,69396937;67,56507284;71,18298698;73,88489597;75,08373081;79,01387915;73,47986264
Baden-Württemberg;75,1044195;68,34571592;64,5593841;66,6445942;69,43617456;71,63002239;74,76719293;77,01075769;78,7067012;82,22634762;76,60571781
Saarland;73,14225346;66,73215594;61,77173664;63,62881419;67,16562469;68,94345033;70,2255582;75,45495999;76,73494144;80,25348117;74,6352306
Deutschland;72,37609953;64,21859506;60,31869197;62,3625819;65,53474281;68,70012623;72,39152133;74,66080826;75,5011498;79,77355467;74,82963615
davon: früheres Bundesgebiet und Berlin-West;73,37282158;64,9378289;61,28033675;63,27433166;66,40880246;69,38515391;73,04184561;75,63995106;76,66170016;80,91086666;76,31823805
davon: Neue Länder und Berlin-Ost;68,06541916;58,38604337;54,95140141;58,52825162;61,93691309;65,71239703;69,35261628;69,95061486;70,75230277;75,29356477;68,88996783
;Männer;;;;;;;;;;
Schleswig-Holstein;73,55719963;62,14831807;58,14052779;58,46618232;64,17707251;65,61417021;70,65443086;75,65568772;75,72304369;81,97992955;83,12915977
Mecklenburg-Vorpommern;64,89614935;52,28613786;44,89090118;49,79803703;53,53426133;59,06844719;64,90659667;65,03551175;67,5528096;73,94086915;74,23413274
Hamburg;72,01037128;56,71258147;62,35151876;65,69287475;66,12601895;69,75185714;73,77901647;73,74498324;74,42969758;77,27259841;78,65575135
Niedersachsen;74,54629829;64,14464142;58,70269506;60,36136232;63,88054521;68,446831;72,05905962;76,51552263;77,62073879;83,06571573;83,33549774
Bremen;68,99980737;60,47711392;52,48319882;59,14178299;62,25553483;64,68043288;65,42549388;68,67756637;69,73402879;78,11297234;78,71302046
Brandenburg;68,63530745;60,84454827;54,43702849;55,0403607;58,137174;64,92607958;67,15712366;70,6738396;70,84437083;76,63159232;74,38484747
Sachsen-Anhalt;61,94541287;51,52438614;45,78783325;46,86536765;50,03142446;54,52118223;59,41617439;62,00816546;63,90953337;70,75910449;70,12681567
Berlin;73,4005289;58,41214866;58,83293466;67,29940176;69,98189823;71,96159713;73,91766526;74,84031462;73,94497692;79,3919168;80,08970371
Nordrhein-Westfalen;73,60763835;65,63519901;60,67188425;62,60426352;65,71604959;68,32987289;72,07131529;74,76080215;76,27069244;80,71418468;81,44680744
Sachsen;69,93168162;63,61181714;59,78320009;62,12777104;63,89470255;66,85864534;69,00845166;70,17806788;70,73342361;75,52614591;74,80864427
Hessen;74,18353982;66,66310777;61,68321835;60,54028998;66,02414048;69,82407757;71,88326731;75,92413497;77,57372238;81,38905266;81,71007645
Thüringen;68,4485423;60,33235303;55,11373264;58,77949234;58,21095722;63,28818098;67,82264316;67,28598047;70,91845998;76,1018379;74,67212691
Rheinland-Pfalz;73,79009138;65,19003487;60,11681256;60,76239161;64,84096268;67,94284377;71,76907953;74,24587;76,47121976;81,61829547;81,7563034
Bayern;72,25511189;63,52711633;60,85183227;61,04644818;64,54437744;67,17753312;70,92533798;73,83864884;75,29353276;79,49088346;79,11900751
Baden-Württemberg;75,93023886;68,38136206;64,63442843;66,45131434;68,55320934;71,7236561;74,1831597;76,53238777;78,93565781;82,76099537;82,22899632
Saarland;73,77069749;67,47122914;62,69755801;62,4655247;66,50998746;68,36123392;69,75078132;75,45703342;75,77504099;81,07948139;79,65976263
Deutschland;72,67532784;64,35915118;59,90779883;61,42228878;64,5401152;67,82197189;71,14433995;73,9308119;75,18689723;79,8930632;79,93145827
davon: früheres Bundesgebiet und Berlin-West;73,81753564;65,03646394;60,99209827;62,3596607;65,72046002;68,72148251;72,07430883;75,14254382;76,64351346;81,16494828;81,37674764
davon: Neue Länder und Berlin-Ost;67,77379735;58,8388511;53,99897034;57,61054982;59,87533768;64,09983551;66,99363734;68,1507343;69,24869567;74,8660649;74,07420545
;Frauen;;;;;;;;;;
Schleswig-Holstein;73,93128089;62,60028451;57,10884815;61,74004404;66,95264054;70,07846773;74,4500993;75,17454344;78,13480251;82,63829253;75,9609775
Mecklenburg-Vorpommern;66,39021713;48,6994452;46,36506613;53,43444746;60,03838512;62,15229299;69,4101477;69,64774216;70,41700619;75,31100241;66,44449684
Hamburg;72,18930403;58,75192437;64,16569923;66,76016115;70,59396154;72,74765968;75,26778197;76,17511118;75,57477059;79,60195453;70,24513661
Niedersachsen;73,5484665;62,18339715;59,82275613;62,25333037;66,52605984;70,05256582;75,25509067;76,82140585;76,38861846;82,45778513;74,69394615
Bremen;69,96898628;57,83281248;58,04090251;62,48179211;63,7761491;65,85116038;71,52276923;71,60788274;71,13732496;78,2236077;72,41859729
Brandenburg;69,16594583;61,77210523;56,12058279;56,63017197;63,11309273;67,57274282;73,45519038;74,08302924;73,58020993;77,66444544;65,03567042
Sachsen-Anhalt;63,03050102;47,6916704;47,82459852;48,87910853;54,19272806;59,9078604;64,86635657;64,68299183;67,96099881;71,81815123;61,71854712
Berlin;73,73014326;62,20130502;62,76261744;68,82429395;72,61782566;74,20259503;75,83766298;77,45481879;75,58592698;79,27010225;73,01079077
